text,label,source,collected_at,auto_label,confidence
"Rescuing an Old Saver If you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon.",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
"Google IPO faces Playboy slip-up The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine.",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
"Car prices down across the board The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found.",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
Mauritian textile firm cuts jobs One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs.,business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
Saudi phone sector gets \$1bn lift A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.,business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
Quality Gets Swept Away Quality Distribution is hammered after reporting a large loss for the second quarter.,business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
"Chrysler's Bling King After a tough year, Detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
What's Cool In the Pool ... ... And Hot On the Deck Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of accessories,business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
The Age of Doom In 1993 six geeks had a digital nightmare that changed the culture. It's about to get far creepier,business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
Coming to The Rescue Got a unique problem? Not to worry: you can find a financial planner for every specialized need,business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
"Oldsmobile: The final parking lot Why General Motors dropped the Oldsmobile. The four brand paradoxes GM had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding.",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
"The Real Time Modern Manila Blues: Bill Monroe Meets Muddy Waters in the Orient Globalization does strange things to people. A day in the life of a Manila Philippines based business consultant - proving that you really CAN talk about Muddy Walters, bluegrass and work all on the same page...",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
"IT alligator tales I grew up in New York, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. According to legend, vacationers picked up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle.",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
"Fark Sells Out. France Surrenders Blogs are the hottest thing on the Net, but are they messing with traditional publishing principles? One of the most popular, Fark.com, is allegedly selling links. Is it the wave of the future? By Daniel Terdiman.",business,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
European Download Services Go Mobile (Reuters) Reuters - The ability to download complete\tracks directly over cell-phone networks to mobile phones is\becoming a reality in Europe.,sci_tech,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
Sun's Looking Glass Provides 3D View (PC World) PC World - Developers get early code for new operating system 'skin' still being crafted.,sci_tech,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
Dolphins Too Have Born Socialites (Reuters) Reuters - Some people are born to be the life and\soul of the party -- and so it seems are some dolphins.,sci_tech,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
Red-Footed Falcon Sighted in Mass. (AP) AP - A red-footed falcon spotted for the first time in North America is enticing birdwatchers to Martha's Vineyard.,sci_tech,hf:ag_news,2026-04-19T19:03:08.473768+00:00,world,0.4
